TITLES,INT. DARK ROOM - NIGHT TIME
RON,Traditional?? They're ancient! I look like my great aunt Tessie.
RON,I smell like my great aunt Tessie. Murder me Harry.
INT. DANCEHALL,Harry and Ron are walking down the stairs into the hall. Ron is fidgeting with his outfit.
HARRY,Leave it alone.
RON,"Poor kid, bet she's alone in her room crying her eyes out."
HARRY,Who?
RON,"Hermione of course. Come on Harry, why'd you think she wouldn't tell us who she's coming with?"
HARRY,Because we'd take the mickey out of her if she did.
RON,Because nobody asked her. I would have taken her myself if she weren't so bleeding proud.
PARVATI,Hello boys. Don't you look...
PARVATI,... dashing.
MCGONAGALL,Here you are Potter. Are you and Miss Patil ready?
HARRY,Ready professor?
MCGONAGALL,To dance. It's traditional that the three champions or in this case four are the first to dance. Surely I told you that.
HARRY,No.
MCGONAGALL,"Oh well now you know. Oh, as for your Mr Weasly you may proceed into the great hall with Miss Patil."
PARVATI,She looks beautiful.
HARRY,Yeah she does.
PADMA,(To Ron) Is that Hermione Granger? With Viktor Krum??
RON,No. Absolutely not.
PARVATI,Harry. Take my waist.
HARRY,What?
PARVATI,Now.
HERMIONE,Hot isn't it? Viktor's gone to get drinks. Care to join us?
RON,"No, we'd NOT care to join you and Viktor."
HERMIONE,What's got your wand in a knot?
RON,He's a Durmstrang. You're fraternising with the enemy.
HERMIONE,"The enemy?? Who was it wanting his autograph? Besides, the whole point of the tournament is international magical cooperation, to make friends."
RON,"Hrmph, I think he's got a bit more than friendship on his mind."
PADMA,Are you going to ask me to dance or not?
RON,No.
LATER,RON (To Hermione) He's using you.
HERMIONE,How dare you! Besides I can take care of myself.
RON,Doubt it. He's way too old.
HERMIONE,What? What? That's what you think?
RON,Yeah that is what I think.
HERMIONE,You know the solution then don't you.
RON,Go on.
HERMIONE,"Next time there's a ball pluck up the courage and ask me before somebody else does, and not as a last resort."
RON,Well that's completely off the point. Harry...
HERMIONE,Where have you been? Nevermind! Off to bed both of you.
RON,They get scary when they get older.
HERMIONE,Ron you spoil everything!
INT. BEDROOM,NIGHTMARE SEQUENCE
VOLDERMORT,Let me see it again.
VOLDEMORT,"Ah yes, the time is close now. Harry! At last! Step aside Wormtail so I can give our guest a proper greeting!"
NEVILLE,You alright Harry? I just got in. Me!
EXT. A BRIDGE OUTSIDE HOGWARTS,HERMIONE Harry you told me you'd figured the egg out weeks ago. The task is two days from now.
HARRY,Really? I had no idea. I suppose Viktor's already figured it out.
HERMIONE,"I wouldn't know, we didn't actually talk about the tournament. Actually we didn't really talk at all, Viktor's more of a physical being. I just mean he's not particularly... Mostly he watches me study. It's a bit annoying actually. You are trying to figure this egg out aren't you?"
HARRY,What's that supposed to mean?
HERMIONE,"I mean these tasks are supposed to test you, in the most brutal way they're almost cruel. And um, I'm scared for you. You got by the dragon mostly on nerve, I'm not sure it's going to be enough this time."
CEDRIC,Hey Potter.
HARRY,Cedric.
CEDRIC,How are you?
HARRY,Spectacular.
CEDRIC,Look I realise I never really thanked you properly for tipping me off about those dragons.
HARRY,Forget about it. I'm sure you would have done the same for me.
CEDRIC,Exactly. You know the prefects bathroom on the fifth floor?
CEDRIC,It's not a bad place for a bath. Just take your egg and mull things over in the hot water.
INT. BATHROOM,"Harry is taking his clothes off, he gets in the bath. He has his golden egg on the side."
HARRY,I must be out of my mind.
MYRTLE,I'd try putting it in the water if I were you.
HARRY,Myrtle!
MYRTLE,Long time no see.
MYRTLE,I was circling a blocked drain the other day and could swear I saw a bit of polyjuice potion. Not being a bad boy again are you Harry?
HARRY,"Polyjuice potion! Kicked the habit. Myrtle, did you say try putting it in the water?"
MYRTLE,"Well. That's what he did. The other boy, the handsome one. Cedric."
MYRTLE,"Well go on, open it."
VOICE SINGING,"Come seek us where our voices sound. We cannot sing above the ground. An hour long you'll have to look, to recover what we took."
HARRY,"Myrtle, there aren't Merpeople in the black lake are there?"
MYRTLE,"Ahhh, very good. Took Cedric ages to riddle it out. Almost all the bubbles were gone..."
INT. COMMON ROOM,"HERMIONE Harry, tell me again."
HARRY,Come seek us where our voices sound.
HERMIONE,"The black lake, that's obvious."
HARRY,An hour long you'll have to look.
HERMIONE,"Again obvious, though I must admit potentially problematic"
HARRY,Potentially problematic? When was the last time you held your breath under the water for an hour Hermione?
HERMIONE,"Look Harry, we can do this. The three of us can figure it out."
MAD-EYE,"Hate to break up this scholar session but Professor McGonagall would like to see you in her office. Not you Potter, just Weasly and Granger."
HERMIONE,"But sir, the second task is only hours away and..."
MAD-EYE,Exactly. Presumably Potter is well prepared by now and could do with a good night's sleep. Go. Now! Longbottom!
MAD-EYE,Why don't you help Potter put his books back.
NEVILLE,"You know, if you're interested in plants you'd be better with Gorshok's Guide to Herbology. Do you know there's a wizard in Nepal whose growing gravity resistant trees?"
HARRY,"Neville. No offense, but I really don't care about plants. Now if there's a Tibetan turnip that will allow me to breathe underwater for an hour then great."
NEVILLE,I don't know about a turnip but you can always use gilliweed.
EXT. LAKESIDE,"The Weasly twins are shouting, busy taking bets. Harry is walking along with Neville, he has some green plantlife in his hand."
HARRY,You're sure about this Neville.
NEVILLE,Absolutely.
HARRY,For an hour.
NEVILLE,Most likely.
HARRY,Most likely?
NEVILLE,Well there is some debate among herbologists as to the effects of freshwater versus saltwater.
HARRY,You're telling me this now? You must be joking.
NEVILLE,I just wanted to help.
HARRY,Well that makes you sight better than Ron and Hermione. Where are they anyway?
NEVILLE,You seem a little tense Harry.
HARRY,Do I?
DUMBLEDORE,"(Over a loudspeaker) Welcome to the second task. Last night something was stolen from each of our champions. A treasure of sorts. These four treasures, one for each champion, now lie on the bottom of the black lake. In order to win each champion need only find their treasure and return to the surface. Simple enough. Except for this, they will have one hour to do so and one hour only. After that they'll be on their own."
MAD-EYE,(To Harry) Put that in your mouth.
DUMBLEDORE,(Continued) You may begin at the start of the cannon.
EXT. ABOVE WATER,SEAMUS What's the matter with him?
FRIEND,I don't know I can't see him.
NEVILLE,Oh my god I've killed Harry Potter!
EXT. UNDERWATER,"Harry swims among the fish and rocks. Singing voices start echoing. We see Fleur get trapped, she screams."
EXT. ABOVE WATER,DUMBLEDORE (Over the loudspeaker) The Beauxbatons champion Miss Delacour has unfortunately been forced to retire. She will take no further part in this task.
EXT. UNDERWATER,"Harry is still searching around. He hears muffled screams. He finds Ron, Hermione, Cho Chan and a blonde girl from Beauxbatons tied in place by their ankles. Cedric is there, he takes Cho with him. Harry sets about freeing Ron and Hermione but vicious merpeople appear."
HARRY,But she's my friend too!
MERPERSON,Only one.
EXT. ABOVE WATER,"Cedric and Cho emerge, the crowd cheers. Viktor and Hermione next, the crows chants 'Krum, Krum, Krum'. The Beauxbatons girls look worried."
EXT. UNDERWATER,"Harry looks over and sees the blonde girl that Fleur was unable to rescue. He loosens her rope too and starts heading for the surface with the both of them. He's attacked and gets held down, he pushes Ron and the girl towards the surface."
EXT. ABOVE WATER,"Ron and the girl come up, they are coughing but safe. They're helped out of the water by a girl from Beauxbatons. Underwater Harry casts a spell which propels him towards the surface, he flies out and lands on the decking where the crowd are."
DUMBLEDORE,Harry!
BARTY,Get him another towel.
DUMBLEDORE,I want all the judges over here now.
FLEUR,"(To Harry) You saved her, even though she wasn't yours to save. My little sister!"
FLEUR,Thank you! And you... (Looks to Ron). You helped!
RON,Well... yeah... a bit
RON,Merci.
HERMIONE,Harry!
HARRY,Hermione
HERMIONE,Are you alright? You must be freezing! Personally I think you behaved admirably.
HARRY,I finished last Hermione.
HERMIONE,Next to last.
DUMBLEDORE,Attention! Attention! The winner is... Mr Diggory!
DUMBLEDORE,"For showing unique command of the bubblehead shark. The way I see it, Mr Potter would have finished first had it not been for his determination to rescue not only Mr Weasly but the others as well. We've agreed to award him second place! For outstanding moral fibre."
FRED,All that moral fibre eh?
RON,Blimey even when you go wrong it turns out right.
GEORGE,Well done 'moral fibre'.
BARTY,"Congratulations Potter, fine achievement. Well done boy. I'm sorry we haven't spoken, after all your story is one I've heard many times. Quite remarkable. Tragic of course, to lose one's family. Never whole again are we? Still, life goes on. And here we stand. I'm sure your parents would be very proud today Potter."
MAD-EYE,Bartimus! Not trying to lure Potter into one of the ministry's summer internships are we? Last boy who went into the department of ministries never came out!
MAD-EYE,And they say I'm mad.
EXT. DARK FOREST,"HAGRID So I remember, I remember when I first met you all. Biggest bunch of misfits I've ever set eyes on. Always reminded me of myself a little. And here we all are, four years later."
RON,We're still misfits.
HAGRID,"Maybe. But we've all got each other, and Harry of course. Soon to be! The youngest! Tri-Wizard champion there's ever been! Hooray!"
HARRY,Mr Crouch?
INT. HOGWARTS DARK ROOM,"DUMBLEDORE A man has died here. And he won't be the last, you must take action."
FUDGE,I will not. In times like these the wizard world looks to its leaders for strength Dumbledore.
DUMBLEDORE,Then for once show them some.
FUDGE,The tri-wizard tournament will not be cancelled. I will not be seen as a coward.
DUMBLEDORE,"But surely that is what's right, no matter what others think."
FUDGE,What did you say? What did you say to me?
MAD-EYE,"Excuse me gentlemen, it may interest you to know that this conversation is no longer private."
FUDGE,Harry! Harry how good to see you again.
HARRY,I can come back later Professor.
DUMBLEDORE,"Oh not necessary Harry the minister and I are done. I'll be back in a moment. Minister, after you. Harry do feel free to indulge in a liquorice snack in my absence, but I have to warn you they're a little bit sharp."
HARRY,Agh!
INT. COURTROOM,HARRY Professor?
MAN,Professor.
BARTY,"Igor Karkaroff, you have been brought from Azkaban at your own request to present evidence to this counsel. Should your testimony prove consequential. Counsel may be prepared to order your immediate release. Until such time you remain in the eyes of the ministry a convicted deatheater. Do you accept these terms?"
IGOR,I do sir.
BARTY,What do you wish to present?
IGOR,"I have names sir. There was a Rosier, Evan Rosier."
BARTY,Mr Rosier is dead.
IGOR,Dead?
MAD-EYE,(To Dumbledore) Yeah took a piece of me with him though didn't he.
IGOR,I didn't know.
BARTY,If that is all the witness has to offer...
IGOR,"No! No! There was Rookwood, he was a spy."
BARTY,Augustus Rookwood? Of the department of ministries.
IGOR,"Ya ya, the same. He passed information to you know who from inside the ministry itself."
BARTY,Very well. Counsel will deliberate. In the meantime you will be returned to Azkaban.
IGOR,"NO! WAIT! PLEASE! I have more. Snape, Severus Snape."
DUMBLEDORE,The counsel is very much aware you have given evidence on this matter. Severus Snape was indeed a deatheater and prior to Lord Voldemort's downfall turned spy for us at great personal risk. Today he's no more a deatheater than I am.
IGOR,It's a lie! Severus Snape remains faithful to the dark lord.
BARTY,Silence!
BARTY,Unless the witness possesses any name of genuine consequence this session is now concluded.
IGOR,Oh no no no no no. I heard about one more.
BARTY,What's that?
IGOR,The name...
BARTY,Yes?
IGOR,"I know for a fact this person took part in the capture, and by means of the cruciatus curse, torture of the aurer Frank Longbottom and..."
BARTY,The name! Give me the wretched name!
IGOR,Barty Crouch! ... Junior.
BARTY JR,Get your hands off me you pathetic little men. Hello father.
BARTY,You are no son of mine.
BARTY JR,GAHHHH!
DUMBLEDORE,"Curiosity's not a sin Harry, but you should exercise caution. It's a pensieve, useful if like me you find your mind a wee bit stretched. It allows me to see what small things I've already seen. You see Harry I've searched and searched for something, some small detail. Something I might have overlooked, something that would explain why these terrible things have happened. Every time I get close to an answer it slips away, it's maddedning."
HARRY,"Sir, Mr Crouch's son, what happened to him?"
DUMBLEDORE,"He was sent to Azkaban. Destroyed Barty to do it. But he had no choice, the evidence was overwhelming. Why do you ask?"
HARRY,"It's just that I had a dream about him. It was in the summer, before school. In the dream I was in a house and Voldemort was there only he wasn't quite human, and Wormtail was there too and Mr Crouch's son."
DUMBLEDORE,Have there been other dreams like this?
HARRY,"Yes. Always the same one. Sir... these dreams, what I see, you don't think it's actually happening do you?"
DUMBLEDORE,"I think it's unwise for you to linger over these dreams Harry, I think it's best that you simply..."
DUMBLEDORE,Cast them away.
INT. CORRIDOR,"Harry is walking along, we hear raised voices from inside the herbs store."
IGOR,"It's a sign Severus, you know what it means as well as I."
SNAPE,"Potter! What's your hurry? Congratulations, your performance in the black lake was inspiring. Gilliweed, am I correct?"
HARRY,Yes sir.
SNAPE,"Ingenious. A rather rare herb gilliweed, not something found in your every day garden. Nor is this, know what it is?"
HARRY,Bubble juice sir?
SNAPE,"Veritaserum. Three drops of this and you-know-who himself will spill his darkest secrets. The use of this on a student is regrettably forbidden, however should you ever steal from my personal stores again, my hand might just slip over your morning pumpkin juice."
HARRY,I haven't stolen anything.
SNAPE,"Don't lie to me. Gilliweed might be innocuous, but boomslang skin? lacewing flies? You and your friends are brewing polyjuice potion and believe me I'm going to find out why."
EXT. ARENA,Music is playing and a large crowd is gathered. The champions emerge.
DUMBLEDORE,Earlier today Professor Moody placed the tri-wizards cup deep within the maze. Only he knows its exact position. Now as Mr Diggory...
DUMBLEDORE,(continued) and Mr Potter tied for first position they will be the first to enter the maze. Followed by Mr Krum...
DUMBLEDORE,"(continued) The first person to touch the cup will be the winner. I've instructed the staff to patrol the perimeter, if at any point should a contestant wish to withdraw from the task he or she need only send up red sparks with their wands. Contestants, gather round."
DUMBLEDORE,"(To the contestants) In the maze you'll find not dragons or creatures of the deep. Instead you'll face something more challenging. You see, people change in the maze. Oh find the cup if you can, but be very weary you could just lose yourselves along the way."
MAD-EYE,Champions! Prepare yourselves.
DUMBLEDORE,On the count of three... ONE...
HARRY,Fleur? Fleur!
CEDRIC,Get down!
HARRY,No stop! He's bewitched Cedric.
CEDRIC,Get off me!
HARRY,He's bewitched!
CEDRIC,Harry! Harry!
CEDRIC,You know for a moment there I thought you were gonna let it get me.
HARRY,For a moment so did I.
CEDRIC,Some game huh?
HARRY,Some game.
CEDRIC,"Go. Take it, you saved me!"
HARRY,"Together, on three. One, two, three!"
EXT. GRAVEYARD,Harry and Cedric have ported to a graveyard.
CEDRIC,You ok?
HARRY,"Yeah, you?"
CEDRIC,Where are we?
HARRY,I've been here before.
CEDRIC,It's a portkey. Harry the cup is a portkey.
HARRY,"I've been here before in a dream. Cedric, we have to get back to the cup? Now!"
CEDRIC,What are you talking about?
CEDRIC,What is it?
HARRY,Get back to the cup!
CEDRIC,Who are you? What do you want?
VOLDEMORT,Kill the spare.
HARRY,Cedric!
VOLDEMORT,"Do it, now!"
WORMTAIL,"Bones of the father, unwillingly given."
WORMTAIL,Flesh of the servent willingly sacrificed.
WORMTAIL,Blood of the enemy forcibly taken.
WORMTAIL,The dark lord shall rise again.
VOLDEMORT,My wand Wormtail.
VOLDEMORT,Hold out your arm.
WORMTAIL,Master. Thank you master.
VOLDEMORT,The other arm Wormtail.
VOLDEMORT,"Welcome my friends. Thirty years it's been, and yet you stand before me as though it were only yesterday. I confess myself disappointed, not one of you tried to find me."
VOLDEMORT,"Not even you, Lucius."
LUCIUS,My lord. Had I detected any sign or even a whisper of your whereabouts.
VOLDEMORT,"There were signs my friend, and more than whispers."
LUCIUS,"I assure you I never renounced the old ways. The face I have been obliged to present each day since your absence, that was my true mask."
WORMTAIL,I returned.
VOLDEMORT,"Out of fear, not loyalty. Still you have proved yourself useful these past few months Wormtail."
WORMTAIL,"Thank you master, thank you."
VOLDEMORT,"(To Cedric's corpse) Oh, such a handsome boy."
HARRY,Don't touch him.
VOLDEMORT,"Harry! I'd almost forgotten you were here. Standing on the bones of my father. I'd introduce you but word has it you're almost as famous as me these days. The boy who lived. How lies have fed your legend Harry. Shall I reveal what really happened that night thirteen years ago? Shall I divulge how I truly lost my powers? It was love. You see when dear sweet Lily Potter gave her life for her only son she provided the ultimate protection. I could not touch you. It was old magic, something I should have forseen. But no matter, no matter. Things have changed, I can touch you now!"
VOLDEMORT,"Astonishing what a few drops of your blood will do eh Harry? Pick up your wand Potter. I said pick it up, get up. Get up! You've been taught how to duel I presume yes? First we bow to each other. Come on now Harry the niceties must be observed, Dumbledore would not want you to forget your manners now would he? I said bow!"
VOLDEMORT,That's better. And now...
VOLDEMORT,"Atta boy Harry, your parents would be proud. Especially your filthy mongrel mother. I'm going to kill you Harry Potter, I'm going to destroy you. After tonight no one will ever again question my powers. After tonight if they speak of you they'll speak only of how you begged for death, and I being a merciful lord obliged. Get up."
VOLDEMORT,"Don't you turn your back on me Harry Potter I want you to look at me when I kill you, I want to see the lights leave your eyes."
HARRY,Have it your way.
VOLDEMORT,Do nothing. He is mine to finish. He's mine!
HARRY'S DAD,"(voice) Harry when the connection is broken you must get to the portkey. We can delay it for a moment to give you time but only a moment, do you understand?"
CEDRIC,(voice) Harry take my body back will you? Take my body back to my father.
HARRY'S MOTHER,(voice) Let go. Sweetheart you're ready. Let go! Let go!
VOLDEMORT,No!
EXT. ARENA,"Back at the arena Harry appears with Cedric's body. The crowd don't understand what has taken place and they all cheer, triumphant music starts to play. Harry weeps on Cedric's body."
DUMBLEDORE,Harry! Harry!
DUMBLEDORE,Tell me what happened!
HARRY,"He's back, he's back! Voldemort's back. Cedric, he asked me to bring his body back. I couldn't leave him, not there."
DUMBLEDORE,"It's alright Harry. It's alright, he's home, you both are."
FUDGE,"Keep everybody in their seats. A boy has just been killed. The body must be moved Dumbledore, there are... too many people."
AMOS,Let me through! That's my son! My boy!
INT. DARKENED ROOM,Mad-Eye Moody enters and closes the door behind him. Harry is in the room still sobbing. They sit.
MAD-EYE,Are you alright Potter?
MAD-EYE,Does it hurt?
HARRY,Not so much now.
MAD-EYE,I'd better take a look at it.
HARRY,The cup was a portkey. Someone had bewitched it.
MAD-EYE,What was it like? What was he like?
HARRY,Who?
MAD-EYE,The dark lord. What was it like to stand in his presence?
HARRY,I dunno. It was like I'd fallen into one of my dreams. One of my nightmares.
MAD-EYE,"Were there others? In the graveyard, were there others?"
HARRY,Um. I don't think I said anything about a graveyard Professor.
MAD-EYE,Marvellous creatures dragons aren't they? Do you think that miserable oaf would have led you into the woods if I hadn't suggested it? Do you think Cedric Diggory would have told you to hold the egg under the water if I hadn't have told him first myself? Do you think Neville Longbottom the witless wonder could have provided you with gilliweed if I hadn't have given him the book that led you straight to it? Huh??
HARRY,It was you from the beginning. You put my name in the goblet of fire. You bewitched Krum. But...
MAD-EYE,You won because I made it so Potter. You ended up in that graveyard tonight because it was meant to be so. And now the deed is done. The blood that runs through these veins runs within the dark lord. Imagine how he will reward me when he learns that I have once and for all silenced the great Harry Potter.
DUMBLEDORE,Severus...
DUMBLEDORE,Do you know who I am?
MAD-EYE,Albus Dumbledore.
DUMBLEDORE,Are you Alastor Moody? Are ya?
MAD-EYE,No.
DUMBLEDORE,Is he in this room? Is he in this room?
DUMBLEDORE,Harry get away from there!
DUMBLEDORE,Are you alright Alastor?
ALASTOR,I'm sorry Albus.
HARRY,"That's Moody, but then who's...?"
SNAPE,Polyjuice potion.
DUMBLEDORE,Now we know who's been stealing it from your store Severus.
DUMBLEDORE,We'll get you up in a minute.
DUMBLEDORE,Barty Crouch Junior.
BARTY JR,I'll show you mine if you show me yours.
DUMBLEDORE,Your arm Harry.
BARTY JR,You know what this means don't you? He's back. Lord Voldemort has returned.
DUMBLEDORE,"Send an owl to Azkaban, think they'll find they're missing a prisoner."
BARTY JR,I'll be welcomed back like a hero.
DUMBLEDORE,Perhaps. Personally I've never had much time for heroes.
INT. ASSEMBLY ROOM,"DUMBLEDORE (Speaking to all pupils) Today we acknowledge a really terrible loss. Cedric Diggory was as you all know, exceptionally hard working, intricately fair minded. And most importantly a fierce fierce friend. I think therefore you have the right to know exactly how he died. You see, Cedric Diggory was murdered by Lord Voldemort. The ministry of magic does not wish me to tell you this. But not to do so I think would be an insult to his memory. Now the pain we all feel at this dreadful loss reminds me, reminds us that while we may come from different places and speak in different tongues, our hearts beat as one. In light of recent events the bonds of friendship we made this year will be more important than ever. Remember that and Cedric Diggory will not have died in vain, you remember that. And we'll celebrate a boy who was kind and honest and brave and true right to the very end."
INT. BEDROOM,"Harry is sitting on a bed, Dumbledore walks in."
DUMBLEDORE,"I never liked these curtains. Set them on fire in my fourth year, by accident of course. I put you in terrible danger this year Harry I'm sorry."
HARRY,"Professor, when I was in the graveyard there was a moment... um... when Voldemort's wand and mine sort of connected."
DUMBLEDORE,Priori Incantatem. You saw your parents that night didn't you? They reappeared.
DUMBLEDORE,"No spell can reawaken the dead Harry I trust you know that. Dark and diffiult times lie ahead. Soon we must all face the choice between what is right what is easy. But remember this, you have friends here. You're not alone."
EXT. HOGWARTS,"There's a large crowd gathered, the pupils are going home. Viktor Krum gives Hermione a kiss and hands her some paper."
VIKTOR,Write to me. Promise.
HERMIONE,Bye.
FLEUR,Au revoir Ron.
RON,Do you think we'll ever just have a quiet year at Hogwarts?
HERMIONE,No.
HARRY,No I don't think so.
HERMIONE,Everything's going to change now isn't it?
HARRY,Yes.
HERMIONE,Promise you'll write this summer. Both of you.
RON,Well I won't. You know I won't!
HERMIONE,Harry will won't you?
HARRY,Yeah. Every week.
